,排名,队名,胜,负,胜率,胜场差,主场,客场,赛区,东部,得分,失分,净胜,连胜/负,所属联盟,西部
2,1,凯尔特人,58,16,78.4%,0.0,32-3,26-13,15-1,38-9,120.9,109.5,11.4,1连胜,东部赛区,
3,2,雄鹿,47,27,63.5%,11.0,29-8,18-19,10-7,32-14,120.4,116.8,3.5,1连胜,东部赛区,
4,3,骑士,45,30,60.0%,13.5,24-14,21-16,10-5,30-20,112.6,109.7,2.8,1连败,东部赛区,
5,4,尼克斯,44,30,59.5%,14.0,24-14,20-16,10-5,30-15,112.6,107.9,4.7,2连败,东部赛区,
6,5,魔术,43,31,58.1%,15.0,26-12,17-19,9-6,30-17,110.5,108.3,2.2,1连胜,东部赛区,
7,6,步行者,42,33,56.0%,16.5,22-15,20-18,11-5,28-18,122.8,120.5,2.2,1连胜,东部赛区,
8,7,热火,41,33,55.4%,17.0,19-17,22-16,12-3,28-18,109.9,108.5,1.4,2连胜,东部赛区,
9,8,76人,40,35,53.3%,18.5,21-16,19-19,7-8,27-21,114.4,112.2,2.2,1连胜,东部赛区,
10,9,公牛,36,39,48.0%,22.5,19-19,17-20,6-9,19-25,112.1,113.6,-1.5,1连胜,东部赛区,
11,10,老鹰,34,40,45.9%,24.0,20-18,14-22,8-6,20-27,119.2,120.5,-1.4,1连败,东部赛区,
12,11,篮网,29,46,38.7%,29.5,17-20,12-26,4-9,21-25,111.1,113.5,-2.4,1连败,东部赛区,
13,12,猛龙,23,51,31.1%,35.0,13-25,10-26,1-14,16-30,112.7,118.4,-5.7,13连败,东部赛区,
14,13,黄蜂,18,56,24.3%,40.0,10-26,8-30,4-10,11-36,106.4,116.9,-10.5,2连败,东部赛区,
15,14,奇才,14,61,18.7%,44.5,6-31,8-30,4-12,10-38,113.3,123.0,-9.7,3连败,东部赛区,
16,15,活塞,13,61,17.6%,45.0,7-31,6-30,2-13,10-37,110.6,119.5,-8.9,1连胜,东部赛区,
19,1,雷霆,52,22,70.3%,0.0,29-8,23-14,12-4,,120.4,113.0,7.4,2连胜,西部赛区,33-16
20,2,掘金,52,23,69.3%,0.5,30-8,22-15,8-6,,114.6,109.8,4.8,1连胜,西部赛区,29-17
21,3,森林狼,51,23,68.9%,1.0,26-10,25-13,12-3,,112.9,106.2,6.6,1连败,西部赛区,35-12
22,4,快船,47,27,63.5%,5.0,22-13,25-14,8-5,,116.3,112.7,3.6,3连胜,西部赛区,27-18
23,5,独行侠,45,29,60.8%,7.0,22-15,23-14,10-5,,118.7,116.3,2.4,7连胜,西部赛区,29-19
24,6,鹈鹕,45,29,60.8%,7.0,21-15,24-14,9-6,,115.2,110.3,5.0,1连败,西部赛区,26-19
25,7,国王,43,31,58.1%,9.0,22-15,21-16,9-6,,117.3,116.0,1.2,1连胜,西部赛区,28-19
26,8,太阳,43,31,58.1%,9.0,23-14,20-17,7-8,,116.7,114.1,2.6,1连败,西部赛区,24-21
27,9,湖人,42,33,56.0%,10.5,27-12,15-21,7-9,,117.7,117.5,0.2,1连胜,西部赛区,25-23
28,10,勇士,40,34,54.1%,12.0,18-19,22-15,6-9,,118.0,115.9,2.1,4连胜,西部赛区,20-24
29,11,火箭,38,36,51.4%,14.0,26-12,12-24,9-6,,114.2,112.6,1.6,1连败,西部赛区,26-20
30,12,爵士,29,46,38.7%,23.5,20-18,9-28,5-10,,116.2,120.6,-4.4,9连败,西部赛区,14-32
31,13,灰熊,24,50,32.4%,28.0,8-28,16-22,8-7,,105.9,113.2,-7.3,3连败,西部赛区,14-34
32,14,开拓者,19,55,25.7%,33.0,11-27,8-28,1-15,,107.2,116.2,-9.0,9连败,西部赛区,8-40
33,15,马刺,18,57,24.0%,34.5,10-28,8-29,1-13,,112.2,119.2,-7.0,1连败,西部赛区,11-35
